BookID,Location,Authors,OriginalTitle,title,language_code,AverageRating,image_url,small_image_url
64,QA76.162. .L58 1993,Carla List,An introduction to information research,An introduction to information research,eng,4.06,https://images.gr-assets.com/books/1344524453m/5414.jpg,https://images.gr-assets.com/books/1344524453s/5414.jpg
65,QA76.165 .W44 1991,"Weiss, Edmond H.",How to write usable user documentation ,How to write usable user documentation ,eng,4.06,https://images.gr-assets.com/books/1442314354m/4451.jpg,https://images.gr-assets.com/books/1442314354s/4451.jpg
66,QA76.24 .F94 2005,"Fuller, Floyd.",Computers ,Computers ,eng,4.28,https://images.gr-assets.com/books/1325225224m/15425.jpg,https://images.gr-assets.com/books/1325225224s/15425.jpg
67,QA76.25 .S54 2006,Groen Cashman Shelly,Essential Introduction to Computers and How to purchase a Personal Computer,Essential Introduction to Computers and How to purchase a Personal Computer,eng,4.34,https://images.gr-assets.com/books/1345455444m/125224.jpg,https://images.gr-assets.com/books/1345455444s/125224.jpg
68,QA76.25 P42 1999,"Platt, David S.",Understanding COM,Understanding COM,eng,4.21,https://images.gr-assets.com/books/1144352145m/22425.jpg,https://images.gr-assets.com/books/1144352145s/22425.jpg
69,QA76.26 .O44 2005,"O'Leary, Timothy J.,",Computing essentials 2005 ,Computing essentials 2005 ,eng,4.07,https://images.gr-assets.com/books/1325444424m/11435453.jpg,https://images.gr-assets.com/books/1325444424s/11435453.jpg
70,QA76.27 .A272 2006,Abraham R. Michael; Gelder I. John and Greenbowe J. Thomas,During Class Inventions and Computer Lab Activities,During Class Inventions and Computer Lab Activities,eng,4.3,https://images.gr-assets.com/books/1425323132m/345522.jpg,https://images.gr-assets.com/books/1425323132s/345522.jpg
71,QA76.27 .C24 1993,"Cassel, Don,",Computing essentials ,Computing essentials ,eng,3.75,https://images.gr-assets.com/books/1351512345m/15442.jpg,https://images.gr-assets.com/books/1351512345s/15442.jpg
72,QA76.27 .C64 1989,,Alternative computers ,Alternative computers ,eng,4.17,https://images.gr-assets.com/books/1353244432m/11555.jpg,https://images.gr-assets.com/books/1353244432s/11555.jpg
73,QA76.27 .N67,Norton Peter,A tutorial to Accompany Peter Norton's Introduction to Computers ,A tutorial to Accompany Peter Norton's Introduction to Computers ,en-US,3.84,https://images.gr-assets.com/books/1315224141m/1454221.jpg,https://images.gr-assets.com/books/1315224141s/1454221.jpg
74,QA76.27 .N67,Norton Peter,A tutorial to Accompany Peter Norton's Introduction to Computers ,A tutorial to Accompany Peter Norton's Introduction to Computers ,eng,4.09,https://images.gr-assets.com/books/1344445432m/44541.jpg,https://images.gr-assets.com/books/1344445432s/44541.jpg
75,QA76.27 .O44 2001,"O'Leary, Timothy J.,",Selected Computing essentials ,Selected Computing essentials ,eng,3.75,https://images.gr-assets.com/books/1242242245m/224443.jpg,https://images.gr-assets.com/books/1242242245s/224443.jpg
76,QA76.27 .O442 2001,"O'leary, Timothy J. & O'leary, Linda L",Computing essentials,Computing essentials,eng,4.06,https://images.gr-assets.com/books/1344245445m/14435.jpg,https://images.gr-assets.com/books/1344245445s/14435.jpg
77,QA76.27 .P27 1998,"Parsons, June Jamrich,","Computer concepts,","Computer concepts,",eng,3.93,https://images.gr-assets.com/books/1324451543m/35424.jpg,https://images.gr-assets.com/books/1324451543s/35424.jpg
78,QA76.27 .P27 2004,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
79,QA76.27 .P27 2004,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.73,https://images.gr-assets.com/books/1342143255m/1351.jpg,https://images.gr-assets.com/books/1342143255s/1351.jpg
80,QA76.27 .P27 2006,"Parsons, June Jamrich.",New perspectives on computer concepts ,New perspectives on computer concepts ,eng,4.28,https://images.gr-assets.com/books/1344545443m/154443.jpg,https://images.gr-assets.com/books/1344545443s/154443.jpg
81,QA76.27 .P278 2004,"Parsons, June Jamrich.",New perspectives on computer concepts ,New perspectives on computer concepts ,eng,4.24,https://images.gr-assets.com/books/1422432554m/4445.jpg,https://images.gr-assets.com/books/1422432554s/4445.jpg
82,QA76.27 .P278 2004,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.94,https://images.gr-assets.com/books/1423143454m/1545.jpg,https://images.gr-assets.com/books/1423143454s/1545.jpg
83,QA76.27 .P278 2006,"Parsons, June Jamrich.",Computer concepts ,Computer concepts ,eng,3.81,https://images.gr-assets.com/books/1344422523m/1453.jpg,https://images.gr-assets.com/books/1344422523s/1453.jpg
84,QA76.27 .P36 2010,Jamrich June and Oja Dan,Computer Concepts,Computer Concepts,spa,3.96,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
85,QA76.27 .S34 2003,"Shelly, Gary B.",Discovering computers 2005 ,Discovering computers 2005 ,eng,4.38,https://images.gr-assets.com/books/114425442m/342443.jpg,https://images.gr-assets.com/books/114425442s/342443.jpg
86,QA76.27 .S34 2003,"Shelly, Gary B.",Discovering computers 2004 ,Discovering computers 2004 ,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
87,QA76.27 .S44 1995,"Shelly, Gary B.",Shelly Cashman Series,Shelly Cashman Series,eng,4.3,https://images.gr-assets.com/books/1443445255m/1414.jpg,https://images.gr-assets.com/books/1443445255s/1414.jpg
88,QA76.27 .S44 2005,"Shelly, Gray B.",Discovering Computers 2006,Discovering Computers 2006,en-US,3.88,https://images.gr-assets.com/books/134421345m/4442444.jpg,https://images.gr-assets.com/books/134421345s/4442444.jpg
89,QA76.27 .S65 2004,Hal Spiegel,The quickest way to navigae blackbord ,The quickest way to navigae blackbord ,en-US,4.25,https://images.gr-assets.com/books/1324423434m/21454.jpg,https://images.gr-assets.com/books/1324423434s/21454.jpg
90,QA76.27 .S65 2004,,Navigating,Navigating,en-US,4.06,https://images.gr-assets.com/books/1442124424m/231524.jpg,https://images.gr-assets.com/books/1442124424s/231524.jpg
91,QA76.27 .T7,,Training policies for computer manpower and users.,Training policies for computer manpower and users.,eng,4.02,https://images.gr-assets.com/books/1345544542m/4154354.jpg,https://images.gr-assets.com/books/1345544542s/4154354.jpg
92,QA76.27 .T736 2014,, Transition from observation to knowledge to intelligence, Transition from observation to knowledge to intelligence,en-US,3.93,https://images.gr-assets.com/books/1324424242m/1222.jpg,https://images.gr-assets.com/books/1324424242s/1222.jpg
93,QA76.27 .Y6 2006,"Yoloye, E.O.",Use of Computer Packeges( desktop publishing),Use of Computer Packeges( desktop publishing),eng,4.12,https://images.gr-assets.com/books/1324543435m/2445.jpg,https://images.gr-assets.com/books/1324543435s/2445.jpg
94,QA76.27 T24 2003,"Adedoyin, A. Talabi",Basic Computer Studies a beginners's text,Basic Computer Studies a beginners's text,eng,4.04,https://images.gr-assets.com/books/1324551341m/322.jpg,https://images.gr-assets.com/books/1324551341s/322.jpg
95,QA76.27. T7.K7 1996,Timothy N. Trainor,Computers,Computers,eng,4.06,https://images.gr-assets.com/books/1424544444m/5244.jpg,https://images.gr-assets.com/books/1424544444s/5244.jpg
96,QA76.27.M52P73 2003,Jeannine P. Pray,Excel 2002 Level 2,Excel 2002 Level 2,eng,3.88,https://images.gr-assets.com/books/1334415534m/13534542.jpg,https://images.gr-assets.com/books/1334415534s/13534542.jpg
97,QA76.27.S34 2003,Gary B. Shelly,Discovering Computers,Discovering Computers,eng,3.98,https://images.gr-assets.com/books/1354151444m/14245.jpg,https://images.gr-assets.com/books/1354151444s/14245.jpg
98,QA76.27.S34 2003,"Shelly, Gary B.",Discovering computers 2005 ,Discovering computers 2005 ,eng,4.22,https://images.gr-assets.com/books/1351445551m/5242345.jpg,https://images.gr-assets.com/books/1351445551s/5242345.jpg
99,QA76.27.S44 2004,"Shelly, Gary B.",Discovering computers 2005 ,Discovering computers 2005 ,eng,3.87,https://images.gr-assets.com/books/1355244252m/11554425.jpg,https://images.gr-assets.com/books/1355244252s/11554425.jpg
100,QA76.28 .A53 2002,"Smith, Jean Andrews,","A  guide to Hardware Managing, Maintaining & Troubleshooting Maps to CompTIA's A  cORE Exam","A  guide to Hardware Managing, Maintaining & Troubleshooting Maps to CompTIA's A  cORE Exam",eng,4.02,https://images.gr-assets.com/books/1412242454m/4244.jpg,https://images.gr-assets.com/books/1412242454s/4244.jpg
101,QA76.28 .B87B83 2002,"Burks, James",Examguide Sever,Examguide Sever,eng,3.97,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
102,QA76.28 .F94 2005,"Floyd, Fuller & Brian Larson",Computers Understanding Technology Introductory,Computers Understanding Technology Introductory,eng,4.22,https://images.gr-assets.com/books/1354434542m/14543.jpg,https://images.gr-assets.com/books/1354434542s/14543.jpg
103,QA76.28 .L58 1999,Litvin Maria,Be Prepared for the AP computer Science Exam,Be Prepared for the AP computer Science Exam,eng,4.21,https://images.gr-assets.com/books/1324223425m/4124.jpg,https://images.gr-assets.com/books/1324223425s/4124.jpg
104,QA76.28 .S34 2001,"Shelly, Gary B.",Discovering computers ,Discovering computers ,eng,3.95,https://images.gr-assets.com/books/1434144214m/4255.jpg,https://images.gr-assets.com/books/1434144214s/4255.jpg
105,QA76.28 .S34 2004,"Shelly, Gary B.",Discovering computers 2004 ,Discovering computers 2004 ,eng,3.63,https://images.gr-assets.com/books/1345552445m/1545142.jpg,https://images.gr-assets.com/books/1345552445s/1545142.jpg
106,QA76.28 A53 2001,Jean Andrews,Enhanced A  guide to managing and maintaining your PC the solution for A certification,Enhanced A  guide to managing and maintaining your PC the solution for A certification,eng,3.94,https://images.gr-assets.com/books/1451524554m/4415324.jpg,https://images.gr-assets.com/books/1451524554s/4415324.jpg
107,QA76.28 L65 2004,"Long, Larry E.",Computers ,Computers ,en-US,4.15,https://images.gr-assets.com/books/1355435445m/3443.jpg,https://images.gr-assets.com/books/1355435445s/3443.jpg
108,QA76.28.b4 2001,Pawan K. Bhardwaj,Test yourself A  certification  ,Test yourself A  certification  ,eng,3.61,https://images.gr-assets.com/books/1324542424m/4414.jpg,https://images.gr-assets.com/books/1324542424s/4414.jpg
109,QA76.3 .A1755 2001,,A  certification training kit ,A  certification training kit ,eng,4.14,https://images.gr-assets.com/books/1411552241m/24252.jpg,https://images.gr-assets.com/books/1411552241s/24252.jpg
110,QA76.3 .A36 2002,Andrews Jean,i-Net  Guide to the Internet,i-Net  Guide to the Internet,eng,4.4,https://images.gr-assets.com/books/1355254444m/5542.jpg,https://images.gr-assets.com/books/1355254444s/5542.jpg
111,QA76.3 .A562 2004,"Andrews, Jean,",A  guide to managing and maintaining your PC ,A  guide to managing and maintaining your PC ,eng,3.64,https://s.gr-assets.com/assets/nophoto/book/111x145-bcc242a4c41a24c1d452544eff422a23.png,https://s.gr-assets.com/assets/nophoto/book/52x45-a41bf244245a51aabab421ef452c4a44.png
112,QA76.3 .A562 2004,,"A Guide to Software Managing, Maintaining, and Troubleshooting","A Guide to Software Managing, Maintaining, and Troubleshooting",eng,4.27,https://images.gr-assets.com/books/135455442m/15524455.jpg,https://images.gr-assets.com/books/135455442s/15524455.jpg
113,QA76.3 .B55 1996,"Blakely, James M.",Windows 95 ,Windows 95 ,en-US,3.98,https://images.gr-assets.com/books/1443154314m/145445.jpg,https://images.gr-assets.com/books/1443154314s/145445.jpg
114,QA76.3 .C635 2000,"Cockcroft, Lance.",MCSE Windows 2000 accelerated exam prep ,MCSE Windows 2000 accelerated exam prep ,eng,4.06,https://images.gr-assets.com/books/1423443444m/4422.jpg,https://images.gr-assets.com/books/1423443444s/4422.jpg
115,QA76.3 .D467 2003,Desai Anil,Managing and Maintaining a windows Server 2003 Environment,Managing and Maintaining a windows Server 2003 Environment,en-US,3.98,https://images.gr-assets.com/books/1434224444m/2154.jpg,https://images.gr-assets.com/books/1434224444s/2154.jpg
116,QA76.3 .D65 2000,Donald Lisa and Chellis James ,MCSA  MCSE windows 2000 professional study guide,MCSA  MCSE windows 2000 professional study guide,eng,3.89,https://images.gr-assets.com/books/1424511444m/24553.jpg,https://images.gr-assets.com/books/1424511444s/24553.jpg
117,QA76.3 .D683 2000,"Donald, Lisa.",MCSE Windows 2000 professional study guide ,MCSE Windows 2000 professional study guide ,en-US,4.04,https://images.gr-assets.com/books/1324241522m/15131.jpg,https://images.gr-assets.com/books/1324241522s/15131.jpg
118,QA76.3 .D94 1998,"Dulaney, Emmett A.",MCSE training guide.,MCSE training guide.,eng,3.9,https://images.gr-assets.com/books/1324445453m/4443.jpg,https://images.gr-assets.com/books/1324445453s/4443.jpg
119,QA76.3 .D94 2007,"Dye, Mark A.",Network fundamentals ,Network fundamentals ,eng,4.06,https://images.gr-assets.com/books/1445254433m/35444.jpg,https://images.gr-assets.com/books/1445254433s/35444.jpg
120,QA76.3 .I84 1999,"Iseminger, David,",MCSE IIS 4 ace it ,MCSE IIS 4 ace it ,eng,3.75,https://images.gr-assets.com/books/1441411233m/452324.jpg,https://images.gr-assets.com/books/1441411233s/452324.jpg
121,QA76.3 .K46 1998,"Keogh, Jim,",Core MCSE ,Core MCSE ,eng,3.88,https://images.gr-assets.com/books/1344454344m/4424.jpg,https://images.gr-assets.com/books/1344454344s/4424.jpg
